Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
FJ804107,0.433167,0.409302,0.970664,0.980008,0.0,1.71458,0.0293359,-0.0185078,0.5,1.0
DQ005588,0.0845474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056326,0.0392523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY678299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KM975642,0.0649508,0.0641268,0.855314,0.0739954,0.144686,49.6731,0.0,0.0,1.0,1.0
Node5,0.0540032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HQ164433,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804105,0.388466,0.162182,0.615307,0.883472,0.0,0.965598,0.384693,0.0,1.0,1.0
AY378148,0.326132,0.0794174,0.652742,0.820946,0.347258,48.7661,0.0,0.0,1.0,1.0
FJ804098,0.0479498,0.0485636,0.337076,0.980023,0.0,0.0492467,0.662924,0.0,1.0,1.0
KJ002739,0.0803129,0.0253545,0.926112,0.9986,0.0738883,1.068,0.0,0.0,1.0,1.0
Node20,0.211897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node18,0.0853991,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node16,0.0862701,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804111,0.155647,0.0,0.732639,0.709117,0.267361,1.49027,0.0,0.0,1.0,1.0
Node23,0.13625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444029,0.100531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804115,0.138617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node27,0.0788553,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326260,0.308457,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140841,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node44,0.0149033,0.0146472,0.60708,0.0156206,0.39292,49.6733,0.0,0.0,1.0,1.0
Node42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378150,0.0460238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119839,0.0846333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056328,0.0529221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804110,0.0479378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB232663,0.0617139,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB857728,0.179933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node56,0.0309358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node54,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804116,0.0353432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804108,0.0458628,0.0462684,0.502507,0.0463644,0.497493,1.33988,0.0,0.0,1.0,1.0
AY378147,0.103359,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GU132995,0.270394,0.272854,0.43447,0.239681,0.0,0.27579,0.56553,0.0,1.0,1.0
Node65,0.0054058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB857729,0.0828653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node68,0.0480188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node64,0.890324,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node62,0.0969833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804117,0.0334075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node71,0.029257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node53,0.0381366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node49,0.0302866,0.0303606,1.0,0.0715222,0.0,1.33988,0.0,0.0,1.0,1.0
Node47,0.0183899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.128371,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node37,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node33,0.137628,0.0174792,0.495941,0.257467,0.504059,49.673,0.0,0.0,1.0,1.0
AB857726,0.177115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056327,0.101709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119838,0.0483905,0.0487634,1.0,0.050836,0.0,1.33988,0.0,0.0,1.0,1.0
Node79,0.500348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node77,0.291482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208536,10.0,0.0002,0.9808,0.9808,3.84e-06,109.166,0.0191962,0.0,1.0,1.0
HM106983,0.469443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326261,0.102445,0.101581,0.711438,0.980039,0.0,0.107145,0.288562,0.0,1.0,1.0
Node85,0.20092,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002740,0.0262929,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804097,0.214908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node90,0.327478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node76,0.0504841,0.0603219,0.424541,0.0608442,0.575459,1.33988,0.0,0.0,1.0,1.0
Node32,0.078931,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node30,0.0261436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node26,0.224804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node12,0.236278,0.0,0.432815,0.650014,0.00488414,0.760597,0.562301,0.0,1.0,1.0
Node10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.117456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804100,0.0339219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node98,0.0222109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node96,0.0226691,0.0234465,0.859871,0.0235936,0.140129,49.6227,0.0,0.0,1.0,1.0
Node8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node2,0.014233,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444035,0.0163262,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB537504,0.0320635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node105,0.237853,0.233379,0.754293,0.257131,0.0,0.276255,0.245707,0.0,1.0,1.0
Node103,0.0232342,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804114,0.0202607,0.0204878,1.0,0.981781,0.0,0.0355561,0.0,0.0,1.0,1.0
EU444020,0.0829437,0.0831872,1.0,0.168324,0.0,0.1124,0.0,0.0,1.0,1.0
EU444040,0.0237664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node110,0.101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB232665,0.398677,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB094985,0.0666611,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node115,0.157604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN565030,0.30197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node118,0.0526259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804118,0.030459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node113,0.0647562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
