Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
JQ030893,0.0866919,0.00742573,0.900143,0.959793,0.0,1.22206,0.0998568,0.0135561,0.453656,1.0
HM140846,1.09018,0.986202,0.0,0.954727,0.0,1.10532,1.0,0.00404922,0.474631,1.0
Node6,0.0282681,0.00147818,0.935752,0.890423,0.0,1.04389,0.0642481,-0.00578232,0.5,1.0
KF673859,0.114734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.157622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119842,0.0820915,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node8,0.00353824,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140844,0.0724703,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002733,0.012358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0587298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF924272,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node18,0.249863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node7,0.0207897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF198174,0.197173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HQ388352,0.18169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF673858,0.0984044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002731,0.0784706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node29,0.675373,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF198176,0.159184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node26,0.0130328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140847,0.15037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF673860,0.145327,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node33,0.205586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140843,0.0250753,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002730,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node38,0.0660835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140845,0.0638037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002728,0.0104354,0.010592,1.0,0.870632,0.0,0.000170722,0.0,0.0,1.0,1.0
Node43,0.0608496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ265900,10.0,7.74707e-05,0.890797,0.888885,8.46004e-06,8.71588,0.109195,0.0,1.0,1.0
JN613148,0.375163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node46,0.0626985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node36,0.0981464,0.0152619,0.865064,0.93197,0.00905565,0.837613,0.125881,0.0,1.0,1.0
Node55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ104327,0.143527,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node54,0.141343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002737,0.104003,0.090177,0.966957,0.802071,0.0292181,0.899016,0.00382445,0.0,1.0,1.0
KJ002735,0.292774,0.249616,0.854101,0.549003,0.145899,2.71889,0.0,0.0,1.0,1.0
JQ031272,0.261984,0.259598,0.0,0.282221,1.0,0.820983,0.0,0.0,1.0,1.0
Node2,0.101424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002736,0.101044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node65,0.182896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node1,0.363728,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ104328,0.346435,0.350244,0.220861,0.351518,0.779139,0.821169,0.0,0.0,1.0,1.0
